id,contenido,marca,tipo,color,precio,created,updated
197,Estambre,9,4,10,0,0000-00-00 00:00:00,0000-00-00 00:00:00
198,Estambre,9,4,11,0,0000-00-00 00:00:00,0000-00-00 00:00:00
199,Estambre,9,4,12,0,0000-00-00 00:00:00,0000-00-00 00:00:00
200,Estambre,9,4,13,0,0000-00-00 00:00:00,0000-00-00 00:00:00
201,Estambre,9,4,14,0,0000-00-00 00:00:00,0000-00-00 00:00:00
202,Estambre,9,4,15,0,0000-00-00 00:00:00,0000-00-00 00:00:00
203,Estambre,2,4,197,0,0000-00-00 00:00:00,0000-00-00 00:00:00
204,Estambre,2,4,198,0,0000-00-00 00:00:00,0000-00-00 00:00:00
205,Estambre,2,4,199,0,0000-00-00 00:00:00,0000-00-00 00:00:00
206,Estambre,2,4,200,0,0000-00-00 00:00:00,0000-00-00 00:00:00
207,Estambre,2,4,201,0,0000-00-00 00:00:00,0000-00-00 00:00:00
208,Estambre,2,4,202,0,0000-00-00 00:00:00,0000-00-00 00:00:00
209,Estambre,2,4,203,0,0000-00-00 00:00:00,0000-00-00 00:00:00
210,Estambre,2,4,204,0,0000-00-00 00:00:00,0000-00-00 00:00:00
211,Estambre,2,4,205,0,0000-00-00 00:00:00,0000-00-00 00:00:00
212,Estambre,2,4,206,0,0000-00-00 00:00:00,0000-00-00 00:00:00
213,Estambre,2,4,207,0,0000-00-00 00:00:00,0000-00-00 00:00:00
214,Estambre,2,4,208,0,0000-00-00 00:00:00,0000-00-00 00:00:00
215,Estambre,2,4,209,0,0000-00-00 00:00:00,0000-00-00 00:00:00
216,Estambre,2,4,210,0,0000-00-00 00:00:00,0000-00-00 00:00:00
217,Estambre,2,4,211,0,0000-00-00 00:00:00,0000-00-00 00:00:00
218,Estambre,2,4,212,0,0000-00-00 00:00:00,0000-00-00 00:00:00
219,Estambre,2,4,213,0,0000-00-00 00:00:00,0000-00-00 00:00:00
220,Estambre,2,4,214,0,0000-00-00 00:00:00,0000-00-00 00:00:00
221,Estambre,2,4,215,0,0000-00-00 00:00:00,0000-00-00 00:00:00
222,Estambre,2,4,216,0,0000-00-00 00:00:00,0000-00-00 00:00:00
223,Estambre,2,4,217,0,0000-00-00 00:00:00,0000-00-00 00:00:00
224,Estambre,2,4,218,0,0000-00-00 00:00:00,0000-00-00 00:00:00
225,Estambre,2,4,219,0,0000-00-00 00:00:00,0000-00-00 00:00:00
226,Estambre,2,4,220,0,0000-00-00 00:00:00,0000-00-00 00:00:00
227,Estambre,2,4,221,0,0000-00-00 00:00:00,0000-00-00 00:00:00
228,Estambre,2,4,222,0,0000-00-00 00:00:00,0000-00-00 00:00:00
229,Estambre,2,4,223,0,0000-00-00 00:00:00,0000-00-00 00:00:00
230,Estambre,2,4,224,0,0000-00-00 00:00:00,0000-00-00 00:00:00
231,Estambre,2,4,225,0,0000-00-00 00:00:00,0000-00-00 00:00:00
232,Estambre,2,4,226,0,0000-00-00 00:00:00,0000-00-00 00:00:00
233,Estambre,2,4,227,0,0000-00-00 00:00:00,0000-00-00 00:00:00
234,Estambre,2,4,228,0,0000-00-00 00:00:00,0000-00-00 00:00:00
235,Estambre,2,4,229,0,0000-00-00 00:00:00,0000-00-00 00:00:00
236,Estambre,2,4,230,0,0000-00-00 00:00:00,0000-00-00 00:00:00
237,Estambre,2,4,231,0,0000-00-00 00:00:00,0000-00-00 00:00:00
238,Estambre,2,4,232,0,0000-00-00 00:00:00,0000-00-00 00:00:00
239,Estambre,2,4,233,0,0000-00-00 00:00:00,0000-00-00 00:00:00
240,Estambre,2,4,234,0,0000-00-00 00:00:00,0000-00-00 00:00:00
241,Estambre,2,4,235,0,0000-00-00 00:00:00,0000-00-00 00:00:00
242,Estambre,2,4,236,0,0000-00-00 00:00:00,0000-00-00 00:00:00
243,Estambre,2,4,237,0,0000-00-00 00:00:00,0000-00-00 00:00:00
244,Estambre,2,4,238,0,0000-00-00 00:00:00,0000-00-00 00:00:00
245,Estambre,2,4,239,0,0000-00-00 00:00:00,0000-00-00 00:00:00
246,Estambre,2,4,240,0,0000-00-00 00:00:00,0000-00-00 00:00:00
247,Estambre,2,4,241,0,0000-00-00 00:00:00,0000-00-00 00:00:00
248,Estambre,2,4,242,0,0000-00-00 00:00:00,0000-00-00 00:00:00
249,Estambre,2,4,243,0,0000-00-00 00:00:00,0000-00-00 00:00:00
250,Estambre,2,4,244,0,0000-00-00 00:00:00,0000-00-00 00:00:00
251,Estambre,2,4,245,0,0000-00-00 00:00:00,0000-00-00 00:00:00
252,Estambre,2,4,246,0,0000-00-00 00:00:00,0000-00-00 00:00:00
253,Estambre,2,4,247,0,0000-00-00 00:00:00,0000-00-00 00:00:00
254,Estambre,2,4,248,0,0000-00-00 00:00:00,0000-00-00 00:00:00
255,Estambre,2,4,249,0,0000-00-00 00:00:00,0000-00-00 00:00:00
256,Estambre,2,4,250,0,0000-00-00 00:00:00,0000-00-00 00:00:00
257,Estambre,2,4,251,0,0000-00-00 00:00:00,0000-00-00 00:00:00
258,Estambre,2,4,252,0,0000-00-00 00:00:00,0000-00-00 00:00:00
259,Estambre,2,4,253,0,0000-00-00 00:00:00,0000-00-00 00:00:00
260,Estambre,2,4,254,0,0000-00-00 00:00:00,0000-00-00 00:00:00
261,Estambre,2,4,255,0,0000-00-00 00:00:00,0000-00-00 00:00:00
262,Estambre,2,4,256,0,0000-00-00 00:00:00,0000-00-00 00:00:00
263,Estambre,2,4,257,0,0000-00-00 00:00:00,0000-00-00 00:00:00
264,Estambre,2,4,258,0,0000-00-00 00:00:00,0000-00-00 00:00:00
265,Estambre,2,4,259,0,0000-00-00 00:00:00,0000-00-00 00:00:00
266,Estambre,2,4,260,0,0000-00-00 00:00:00,0000-00-00 00:00:00
267,Estambre,2,4,261,0,0000-00-00 00:00:00,0000-00-00 00:00:00
268,Estambre,2,4,262,0,0000-00-00 00:00:00,0000-00-00 00:00:00
269,Estambre,2,4,263,0,0000-00-00 00:00:00,0000-00-00 00:00:00
270,Estambre,2,4,264,0,0000-00-00 00:00:00,0000-00-00 00:00:00
271,Estambre,2,4,265,0,0000-00-00 00:00:00,0000-00-00 00:00:00
272,Estambre,2,4,266,0,0000-00-00 00:00:00,0000-00-00 00:00:00
273,Estambre,2,4,267,0,0000-00-00 00:00:00,0000-00-00 00:00:00
274,Estambre,2,4,268,0,0000-00-00 00:00:00,0000-00-00 00:00:00
275,Estambre,2,4,269,0,0000-00-00 00:00:00,0000-00-00 00:00:00
276,Estambre,2,4,270,0,0000-00-00 00:00:00,0000-00-00 00:00:00
277,Estambre,2,4,271,0,0000-00-00 00:00:00,0000-00-00 00:00:00
278,Estambre,2,4,272,0,0000-00-00 00:00:00,0000-00-00 00:00:00
279,Estambre,2,4,273,0,0000-00-00 00:00:00,0000-00-00 00:00:00
280,Estambre,2,4,274,0,0000-00-00 00:00:00,0000-00-00 00:00:00
281,Estambre,8,4,370,0,0000-00-00 00:00:00,0000-00-00 00:00:00
282,Estambre,8,4,371,0,0000-00-00 00:00:00,0000-00-00 00:00:00
283,Estambre,8,4,372,0,0000-00-00 00:00:00,0000-00-00 00:00:00
284,Estambre,8,4,373,0,0000-00-00 00:00:00,0000-00-00 00:00:00
285,Estambre,8,4,374,0,0000-00-00 00:00:00,0000-00-00 00:00:00
286,Estambre,8,4,375,0,0000-00-00 00:00:00,0000-00-00 00:00:00
287,Estambre,8,4,376,0,0000-00-00 00:00:00,0000-00-00 00:00:00
